NAMESPACE     NAME                                      READY   STATUS    RESTARTS      AGE
sierra        oscar                                     1/1     Running   0             26d
sierra        papa                                      1/1     Running   0             26d
sierra        quebec                                    1/1     Running   1 (55m ago)   26d
sierra        romeo                                     1/1     Running   0             26d
sierra        sierra                                    1/1     Running   1 (55m ago)   26d
sierra        tango                                     1/1     Running   0             26d
sierra        uniform                                   1/1     Running   0             26d
sierra        victor                                    1/1     Running   0             26d
sierra        whiskey                                   1/1     Running   0             26d
sierra        xray                                      1/1     Running   1 (55m ago)   26d
sierra        yankee                                    1/1     Running   1 (55m ago)   26d
sierra        zulu                                      1/1     Running   0             26d
tango         alpha                                     1/1     Running   1 (55m ago)   26d
tango         bravo                                     1/1     Running   0             26d
tango         charlie                                   1/1     Running   1 (55m ago)   26d
tango         delta                                     1/1     Running   0             26d
tango         echo                                      1/1     Running   1 (55m ago)   26d
tango         foxtrot                                   1/1     Running   0             26d
tango         golf                                      1/1     Running   1 (55m ago)   26d
tango         hotel                                     1/1     Running   0             26d
tango         india                                     1/1     Running   1 (55m ago)   26d
tango         juliet                                    1/1     Running   0             26d
tango         kilo                                      1/1     Running   0             26d
tango         lima                                      1/1     Running   1 (55m ago)   26d
tango         mike                                      1/1     Running   0             26d
tango         november                                  1/1     Running   1 (55m ago)   26d
tango         oscar                                     1/1     Running   1 (55m ago)   26d
tango         papa                                      1/1     Running   0             26d
tango         quebec                                    1/1     Running   0             26d
tango         romeo                                     1/1     Running   0             26d
tango         sierra                                    1/1     Running   1 (55m ago)   26d
tango         tango                                     1/1     Running   1 (55m ago)   26d
tango         uniform                                   1/1     Running   0             26d
tango         victor                                    1/1     Running   1 (55m ago)   26d
tango         whiskey                                   1/1     Running   0             26d
tango         xray                                      1/1     Running   0             26d
tango         yankee                                    1/1     Running   0             26d
tango         zulu                                      1/1     Running   0             26d
uniform       alpha                                     1/1     Running   1 (55m ago)   26d
uniform       bravo                                     1/1     Running   0             26d
uniform       charlie                                   1/1     Running   0             26d
uniform       delta                                     1/1     Running   1 (55m ago)   26d
uniform       echo                                      1/1     Running   0             26d
uniform       foxtrot                                   1/1     Running   1 (55m ago)   26d
uniform       golf                                      1/1     Running   1 (55m ago)   26d
uniform       hotel                                     1/1     Running   1 (55m ago)   26d
uniform       india                                     1/1     Running   1 (55m ago)   26d
uniform       juliet                                    1/1     Running   1 (55m ago)   26d
uniform       kilo                                      1/1     Running   0             26d
uniform       lima                                      1/1     Running   2 (55m ago)   26d
uniform       mike                                      1/1     Running   1 (55m ago)   26d
uniform       november                                  1/1     Running   1             26d
uniform       oscar                                     1/1     Running   1 (55m ago)   26d
uniform       papa                                      1/1     Running   1 (55m ago)   26d
uniform       quebec                                    1/1     Running   1 (55m ago)   26d
uniform       romeo                                     1/1     Running   0             26d
uniform       sierra                                    1/1     Running   1 (55m ago)   26d
uniform       tango                                     1/1     Running   1 (55m ago)   26d
uniform       uniform                                   1/1     Running   0             26d
uniform       victor                                    1/1     Running   0             26d
uniform       whiskey                                   1/1     Running   0             26d
uniform       xray                                      1/1     Running   0             26d
uniform       yankee                                    1/1     Running   1 (55m ago)   26d
uniform       zulu                                      1/1     Running   1 (55m ago)   26d
victor        alpha                                     1/1     Running   0             26d
victor        bravo                                     1/1     Running   1 (55m ago)   26d
victor        charlie                                   1/1     Running   0             26d
victor        delta                                     1/1     Running   0             26d
victor        echo                                      1/1     Running   1 (55m ago)   26d
victor        foxtrot                                   1/1     Running   0             26d
victor        golf                                      1/1     Running   1 (55m ago)   26d
victor        hotel                                     1/1     Running   0             26d
victor        india                                     1/1     Running   0             26d
victor        juliet                                    1/1     Running   0             26d
victor        kilo                                      1/1     Running   0             26d
victor        lima                                      1/1     Running   0             26d
victor        mike                                      1/1     Running   1 (55m ago)   26d
victor        november                                  1/1     Running   1 (55m ago)   26d
victor        oscar                                     1/1     Running   1 (55m ago)   26d
victor        papa                                      1/1     Running   0             26d
victor        quebec                                    1/1     Running   1 (55m ago)   26d
victor        romeo                                     1/1     Running   1 (55m ago)   26d
victor        sierra                                    1/1     Running   1 (55m ago)   26d
victor        tango                                     1/1     Running   1 (55m ago)   26d
victor        uniform                                   1/1     Running   0             26d
victor        victor                                    1/1     Running   1 (55m ago)   26d
victor        whiskey                                   1/1     Running   1 (55m ago)   26d
victor        xray                                      1/1     Running   0             26d
victor        yankee                                    1/1     Running   1 (55m ago)   26d
victor        zulu                                      1/1     Running   0             26d
whiskey       alpha                                     1/1     Running   0             26d
whiskey       bravo                                     1/1     Running   1 (55m ago)   26d
whiskey       charlie                                   1/1     Running   0             26d
whiskey       delta                                     1/1     Running   0             26d
whiskey       echo                                      1/1     Running   0             26d
whiskey       foxtrot                                   1/1     Running   0             26d
whiskey       golf                                      1/1     Running   0             26d
whiskey       hotel                                     1/1     Running   1 (55m ago)   26d
whiskey       india                                     1/1     Running   1 (55m ago)   26d
whiskey       juliet                                    1/1     Running   0             26d
whiskey       kilo                                      1/1     Running   1 (55m ago)   26d
whiskey       lima                                      1/1     Running   1 (55m ago)   26d
whiskey       mike                                      1/1     Running   1 (55m ago)   26d
whiskey       november                                  1/1     Running   0             26d
whiskey       oscar                                     1/1     Running   1 (55m ago)   26d
whiskey       papa                                      1/1     Running   1 (55m ago)   26d
